Class,Metric,3.2,3.3,Delta
(Anon_1),Coupled,2,2,0
(Anon_1),Derived,0,0,0
(Anon_1),Public Methods,0,0,0
(Anon_1),Cyclomatic,2,2,0
(Anon_1),Cohesion,0,0,0
(Anon_2),Coupled,2,2,0
(Anon_2),Derived,0,0,0
(Anon_2),Public Methods,0,0,0
(Anon_2),Cyclomatic,1,1,0
(Anon_2),Cohesion,0,0,0
(Anon_3),Coupled,1,1,0
(Anon_3),Derived,0,0,0
(Anon_3),Public Methods,0,0,0
(Anon_3),Cyclomatic,1,1,0
(Anon_3),Cohesion,0,0,0
AUTH_METHOD,Coupled,1,1,0
AUTH_METHOD,Derived,0,0,0
AUTH_METHOD,Public Methods,1,1,0
AUTH_METHOD,Cyclomatic,5,5,0
AUTH_METHOD,Cohesion,,,N/A
ArrayList,Coupled,,,N/A
ArrayList,Derived,,,N/A
ArrayList,Public Methods,,,N/A
ArrayList,Cyclomatic,,,N/A
ArrayList,Cohesion,,,N/A
Arrays,Coupled,,,N/A
Arrays,Derived,,,N/A
Arrays,Public Methods,,,N/A
Arrays,Cyclomatic,,,N/A
Arrays,Cohesion,,,N/A
Article,Coupled,4,4,0
Article,Derived,0,0,0
Article,Public Methods,1,1,0
Article,Cyclomatic,46,46,0
Article,Cohesion,90,90,0
ArticleInfo,Coupled,1,1,0
ArticleInfo,Derived,0,0,0
ArticleInfo,Public Methods,0,0,0
ArticleInfo,Cyclomatic,1,1,0
ArticleInfo,Cohesion,100,100,0
ArticleIterator,Coupled,3,3,0
ArticleIterator,Derived,0,0,0
ArticleIterator,Public Methods,0,0,0
ArticleIterator,Cyclomatic,5,5,0
ArticleIterator,Cohesion,20,20,0
ArticlePointer,Coupled,2,2,0
ArticlePointer,Derived,0,0,0
ArticlePointer,Public Methods,0,0,0
ArticlePointer,Cyclomatic,0,0,0
ArticlePointer,Cohesion,0,0,0
ArticleReader,Coupled,9,9,0
ArticleReader,Derived,0,0,0
ArticleReader,Public Methods,1,1,0
ArticleReader,Cyclomatic,11,11,0
ArticleReader,Cohesion,0,0,0
Assert,Coupled,,,N/A
Assert,Derived,,,N/A
Assert,Public Methods,,,N/A
Assert,Cyclomatic,,,N/A
Assert,Cohesion,,,N/A
AssertionFailedError,Coupled,,,N/A
AssertionFailedError,Derived,,,N/A
AssertionFailedError,Public Methods,,,N/A
AssertionFailedError,Cyclomatic,,,N/A
AssertionFailedError,Cohesion,,,N/A
AuthenticatingIMAPClient,Coupled,14,14,0
AuthenticatingIMAPClient,Derived,0,0,0
AuthenticatingIMAPClient,Public Methods,0,0,0
AuthenticatingIMAPClient,Cyclomatic,22,22,0
