Class,CountClassDerived,CountClassCoupled,CountDeclClassVariable,SumCyclomatic,CountDeclClass,CountDeclInstanceVariablePublic,CountDeclClassMethod,AvgCyclomatic
org.apache.commons.net.ftp.FTPClientConfig,0,8,12,31,0,0,4,1
java.util.ArrayList,0,0,0,0,0,0,0,0
java.io.BufferedReader,0,0,0,0,0,0,0,0
java.io.BufferedWriter,0,0,0,0,0,0,0,0
org.apache.commons.net.ftp.FTP,2,24,18,107,0,0,0,1
java.io.IOException,0,0,0,0,0,0,0,0
java.net.Inet4Address,0,0,0,0,0,0,0,0
java.net.Inet6Address,0,0,0,0,0,0,0,0
java.net.InetAddress,0,0,0,0,0,0,0,0
java.io.InputStreamReader,0,0,0,0,0,0,0,0
NumberFormatException,0,0,0,0,0,0,0,0
java.io.OutputStreamWriter,0,0,0,0,0,0,0,0
java.io.Reader,0,0,0,0,0,0,0,0
java.net.SocketException,0,0,0,0,0,0,0,0
java.net.SocketTimeoutException,0,0,0,0,0,0,0,0
String,0,0,0,0,0,0,0,0
StringBuilder,0,0,0,0,0,0,0,0
org.apache.commons.net.MalformedServerReplyException,0,1,1,2,0,0,0,1
org.apache.commons.net.ProtocolCommandSupport,0,5,1,8,0,0,0,1
org.apache.commons.net.SocketClient,13,17,4,71,0,0,0,1
org.apache.commons.net.io.CRLFLineReader,0,5,2,6,0,0,0,3
org.apache.commons.net.ftp.FTPCmd,0,2,34,1,0,0,0,0
org.apache.commons.net.ftp.FTPConnectionClosedException,0,1,1,2,0,0,0,1
org.apache.commons.net.ftp.FTPReply,0,0,51,7,0,0,6,1
org.apache.commons.net.ftp.FTPCommand,0,3,76,4,0,0,2,1
java.io.BufferedInputStream,0,0,0,0,0,0,0,0
java.io.BufferedOutputStream,0,0,0,0,0,0,0,0
org.apache.commons.net.ftp.FTPClient,7,57,8,258,0,0,2,2
org.apache.commons.net.ftp.FTPClient.CSL,0,8,0,8,0,0,0,2
org.apache.commons.net.ftp.FTPClient.NatServerResolverImpl,0,6,0,4,0,0,0,2
org.apache.commons.net.ftp.FTPClient.PropertiesSingleton,0,4,1,0,0,0,0,0
java.util.HashMap,0,0,0,0,0,0,0,0
java.util.HashSet,0,0,0,0,0,0,0,0
java.net.InetSocketAddress,0,0,0,0,0,0,0,0
java.io.InputStream,0,0,0,0,0,0,0,0
java.util.Locale,0,0,0,0,0,0,0,0
java.util.regex.Matcher,0,0,0,0,0,0,0,0
java.io.OutputStream,0,0,0,0,0,0,0,0
java.util.regex.Pattern,0,0,0,0,0,0,0,0
java.util.Properties,0,0,0,0,0,0,0,0
java.util.Random,0,0,0,0,0,0,0,0
java.net.ServerSocket,0,0,0,0,0,0,0,0
java.util.Set,0,0,0,0,0,0,0,0
java.net.Socket,0,0,0,0,0,0,0,0
java.net.UnknownHostException,0,0,0,0,0,0,0,0
org.apache.commons.net.ftp.parser.DefaultFTPFileEntryParserFactory,0,21,3,34,0,0,0,3
org.apache.commons.net.ftp.parser.MLSxEntryParser,0,12,4,41,0,0,3,7
org.apache.commons.net.io.CopyStreamAdapter,0,4,0,7,0,0,0,1
org.apache.commons.net.io.CopyStreamEvent,0,2,2,5,0,0,0,1
org.apache.commons.net.io.FromNetASCIIInputStream,0,6,3,18,0,0,1,3
org.apache.commons.net.io.ToNetASCIIOutputStream,0,3,0,8,0,0,0,2
org.apache.commons.net.io.Util,0,10,1,30,0,0,9,3
org.apache.commons.net.ftp.FTPListParseEngine,0,17,0,21,0,0,0,2
